model,imgsz,split,class,ap50,ap50_95,precision50,recall50,f1_50,num_predictions
yolov8n,320,test,D00,0.1506043432222352,0.06374630463852053,0.1506043432222352,0.19311875693673697,0.1692322892403806,283
yolov8n,320,test,D10,0.18738708336861518,0.07328781081239324,0.18738708336861518,0.2289156626506024,0.20608001639033166,196
yolov8n,320,test,D20,0.3730451417305772,0.16696214435575346,0.3730451417305772,0.43828715365239296,0.4030429807450755,275
yolov8n,320,test,D40,0.15783174843516032,0.05498241272802859,0.15783174843516032,0.21212121212121213,0.18099307403258322,132
mobilenetv3_ssdlite,320,test,D00,0.10170455784090328,0.037377929686734174,0.10170455784090328,0.16981132075471697,0.12721602421978484,500
mobilenetv3_ssdlite,320,test,D10,0.044991585638285606,0.01384664899288487,0.044991585638285606,0.09236947791164658,0.060509858739043375,192
mobilenetv3_ssdlite,320,test,D20,0.33223141518964094,0.11746242288207875,0.33223141518964094,0.49370277078085645,0.39718314850193115,636
mobilenetv3_ssdlite,320,test,D40,0.026603614000740572,0.007729772148131431,0.026603614000740572,0.07713498622589532,0.03956231132911067,182
efficientdet_lite0,320,test,D00,0.0329326598722584,0.007377882380381884,0.0329326598722584,0.097669256381798,0.049256680034329196,680
efficientdet_lite0,320,test,D10,0.03603098797096738,0.009085419416299414,0.03603098797096738,0.11847389558232932,0.055256913677140154,404
efficientdet_lite0,320,test,D20,0.0842987463118889,0.03791251275313779,0.0842987463118889,0.1385390428211587,0.10481765835596135,147
efficientdet_lite0,320,test,D40,0.002455751463458363,0.0005299494484376996,0.002455751463458363,0.02203856749311295,0.00441908545975053,163
nanodet_plus,320,test,D00,0.0003808073115003808,3.8080731150038084e-05,0.0003808073115003808,0.0011098779134295228,0.0005670541536716756,59
nanodet_plus,320,test,D10,0.0,0.0,0.0,0.0,0.0,12
nanodet_plus,320,test,D20,0.012456084318109227,0.007267358147766124,0.012456084318109227,0.020151133501259445,0.015395623103303642,66
nanodet_plus,320,test,D40,0.0,0.0,0.0,0.0,0.0,1
